Position,Wild,Mut,Miss
95,378,1,1
97,375,1,4
127,378,1,1
166,378,1,1
204,376,1,3
223,379,1,0
237,375,1,4
262,377,1,2
388,375,1,4
576,374,1,5
934,374,1,5
985,371,2,7
1098,373,1,6
1400,377,1,2
1442,378,1,1
1819,377,1,2
1868,377,1,2
1872,377,1,2
1870,376,1,3
1912,375,1,4
1973,377,1,2
2015,378,1,1
2183,374,1,5
2643,377,1,2
2684,375,1,4
2691,378,1,1
2692,373,1,6
2757,374,1,5
2824,377,1,2
2900,375,1,4
3018,374,2,4
3036,379,1,0
3052,377,1,2
3213,376,1,3
3386,375,1,4
3473,376,1,3
3506,379,1,0
3634,379,1,0
3636,375,1,4
3644,375,1,4
3721,375,1,4
3765,374,1,5
3766,377,1,2
3763,376,1,3
3874,379,1,0
4044,379,1,0
4116,377,1,2
4197,378,1,1
4979,377,1,2
4980,379,1,0
5048,379,1,0
5176,376,1,3
5198,378,1,1
5199,379,1,0
5520,376,1,3
5521,373,1,6
6173,378,1,1
6388,378,1,1
6395,368,1,11
6697,377,1,2
6803,378,1,1
6900,378,1,1
6907,378,1,1
6918,376,1,3
6990,377,1,2
7426,363,1,16
7431,375,1,4
7798,372,1,7
7800,372,1,7
7940,379,1,0
7942,374,1,5
8115,375,1,4
8302,378,1,1
8534,378,1,1
8648,374,1,5
8661,377,1,2
8673,379,1,0
8683,375,1,4
8690,376,1,3
8705,378,1,1
8745,375,1,4
8972,376,1,3
9340,376,1,3
9345,375,1,4
9351,379,1,0
9449,375,1,4
9519,375,1,4
9570,376,1,3
9571,375,1,4
9793,375,1,4
9899,378,1,1
9968,376,1,3
9989,377,1,2
10155,377,1,2
10260,378,1,1
10350,378,1,1
10418,379,1,0
10722,376,1,3
10723,375,1,4
10729,377,1,2
10744,377,1,2
10840,379,1,0
10856,374,1,5
10867,375,1,4
10883,378,1,1
10947,378,1,1
11098,378,1,1
11177,374,1,5
11187,378,1,1
11196,377,1,2
11202,376,1,3
11369,378,1,1
11458,379,1,0
11811,378,1,1
11893,375,1,4
11897,376,1,3
11952,375,2,3
11973,378,1,1
11979,377,1,2
12011,377,1,2
12062,377,1,2
12069,376,1,3
12105,378,1,1
12164,377,1,2
12303,377,1,2
12308,379,1,0
12760,375,1,4
12764,376,1,3
12829,375,1,4
12934,377,2,1
13168,375,1,4
13242,374,1,5
13368,377,1,2
13447,377,1,2
13461,378,1,1
13475,378,1,1
13480,376,1,3
13482,377,1,2
13534,374,1,5
13550,375,1,4
13584,376,1,3
14326,377,1,2
14400,378,1,1
14431,375,1,4
14494,377,1,2
14513,373,1,6
14520,375,1,4
14532,379,1,0
14558,375,1,4
14583,377,1,2
14602,372,1,7
14846,378,1,1
14895,372,1,7
14956,376,1,3
14980,377,1,2
15008,378,1,1
15011,374,1,5
15020,376,1,3
15053,376,1,3
15084,376,1,3
15085,376,1,3
15123,378,1,1
15149,376,1,3
15181,378,1,1
15200,377,1,2
15201,378,1,1
15280,375,1,4
15281,375,1,4
15290,374,1,5
15296,375,1,4
15314,377,1,2
15315,375,1,4
15434,377,1,2
15464,361,1,18
15477,376,1,3
15514,374,1,5
15536,379,1,0
15554,376,1,3
15586,375,1,4
15591,376,1,3
15612,374,2,4
15617,377,1,2
15638,378,1,1
15688,378,1,1
15693,376,1,3
15694,379,1,0
15720,375,1,4
15762,377,1,2
15770,379,1,0
15774,377,1,2
15828,379,1,0
15838,378,1,1
15840,379,1,0
15843,378,1,1
15845,378,1,1
15846,375,1,4
15869,375,1,4
15884,378,1,1
15927,375,1,4
15968,379,1,0
16011,378,1,1
16012,378,1,1
16060,377,1,2
16086,378,1,1
16111,375,1,4
16200,379,1,0
16279,377,1,2
16287,373,1,6
16404,377,1,2
16460,375,2,3
16467,375,1,4
16481,377,1,2
16518,378,1,1
16550,374,1,5
16583,378,1,1
16974,377,1,2
16999,376,1,3
17250,373,1,6
17445,375,1,4
17662,377,1,2
17693,374,2,4
17797,375,1,4
17826,378,1,1
17840,377,1,2
17850,374,1,5
17853,373,1,6
18276,376,1,3
18413,379,1,0
18424,373,1,6
18541,377,1,2
18575,375,1,4
18641,375,1,4
18732,375,1,4
18893,377,1,2
19018,366,1,13
19036,378,1,1
19041,375,1,4
19042,376,1,3
19048,376,1,3
19049,376,1,3
19081,377,1,2
19101,379,1,0
19210,379,1,0
19452,379,1,0
19465,378,1,1
19644,375,1,4
19645,375,1,4
19692,378,1,1
19693,377,1,2
19710,376,1,3
19740,378,1,1
19745,374,1,5
19808,374,1,5
19818,377,1,2
19834,378,1,1
19836,379,1,0
19842,377,1,2
19847,378,1,1
19861,378,2,0
19870,375,1,4
19893,375,1,4
19895,377,1,2
19905,373,1,6
19928,378,1,1
19955,378,1,1
20312,379,1,0
20493,378,1,1
20494,377,1,2
20582,378,1,1
20686,375,1,4
20751,377,1,2
20752,377,1,2
20757,378,1,1
20800,376,1,3
20804,376,1,3
21025,374,1,5
21328,374,2,4
21354,377,1,2
21802,375,1,4
21877,377,1,2
21834,376,1,3
22037,376,1,3
22427,376,1,3
22641,377,1,2
23094,374,5,1
23131,379,1,0
23176,378,1,1
23197,378,1,1
23260,376,1,3
23280,378,1,1
23298,378,1,1
23299,374,1,5
23306,376,1,3
23333,377,1,2
23349,374,1,5
23358,373,1,6
23366,373,1,6
23399,378,1,1
23427,378,1,1
23539,378,1,1
23540,376,1,3
23541,377,1,2
23545,378,1,1
23554,376,1,3
23566,374,1,5
23586,375,1,4
23593,377,1,2
23605,377,1,2
23684,378,1,1
23823,376,1,3
23831,374,1,5
23938,369,1,10
24006,379,1,0
24354,376,1,3
24369,376,1,3
24422,376,1,3
24485,378,1,1
24902,372,1,7
25212,377,1,2
25234,375,1,4
25336,374,1,5
25417,373,1,6
25622,377,1,2
25720,376,1,3
25941,372,1,7
26245,372,1,7
26258,373,1,6
26363,376,1,3
26620,378,1,1
26842,374,1,5
26843,378,1,1
26983,379,1,0
27499,375,1,4
27599,377,1,2
27600,379,1,0
27640,378,1,1
27643,375,1,4
27647,376,1,3
27674,377,1,2
27924,376,1,3
28105,377,1,2
28308,374,1,5
28401,375,1,4
28417,378,1,1
28461,377,1,2
28691,379,1,0
28774,378,1,1
29197,375,1,4
29309,377,1,2
29320,378,1,1
29415,377,1,2
29417,379,1,0
29429,374,1,5
29432,376,1,3
29416,376,1,3
29440,374,1,5
29521,370,1,9
29560,375,1,4
29672,374,1,5
29732,374,1,5
30822,372,1,7
31120,377,1,2
32188,373,1,6
32267,375,1,4
32273,378,1,1
32919,377,1,2
33575,372,2,6
33727,377,1,2
33728,378,1,1
33813,378,1,1
33890,379,1,0
33905,375,1,4
33913,377,1,2
33952,376,1,3
34036,376,1,3
34038,376,2,2
34119,379,1,0
34202,376,1,3
34356,377,1,2
34418,370,5,5
34421,378,1,1
34486,377,1,2
34517,374,1,5
34521,374,1,5
34526,374,1,5
34527,376,1,3
34716,376,1,3
35172,377,1,2
35693,379,1,0
35956,376,2,2
36776,378,1,1
36794,373,1,6
36910,371,1,8
36975,371,1,8
37060,375,1,4
37124,377,1,2
37227,378,1,1
37492,377,1,2
37513,374,1,5
37529,375,1,4
37744,378,1,1
37815,377,1,2
37841,378,1,1
37937,377,1,2
37948,377,1,2
37962,378,1,1
38123,376,1,3
38145,378,1,1
38159,370,1,9
38164,378,1,1
38175,375,1,4
38255,378,1,1
38826,378,1,1
39045,374,2,4
39208,377,1,2
39305,373,1,6
39309,379,1,0
39333,376,1,3
39368,377,1,2
39373,379,1,0
39381,376,1,3
39384,376,1,3
39389,376,1,3
39402,374,1,5
39403,375,2,3
39474,378,1,1
39556,378,1,1
39565,377,1,2
39959,378,1,1
40118,375,1,4
40127,378,1,1
40132,379,1,0
40273,378,1,1
40380,379,1,0
40785,379,1,0
40786,376,1,3
40960,374,1,5
40972,377,1,2
40981,375,1,4
41033,373,1,6
41257,379,1,0
41377,378,1,1
41422,377,1,2
41424,379,1,0
41426,373,1,6
41429,378,1,1
41430,376,1,3
41431,376,1,3
41445,374,1,5
41447,377,1,2
41455,375,1,4
41469,375,1,4
41502,374,1,5
41503,354,1,25
41504,375,1,4
41557,377,1,2
41567,376,1,3
41590,376,1,3
41595,377,1,2
41950,376,1,3
41967,373,1,6
41997,377,1,2
42235,375,1,4
42323,376,1,3
42610,379,1,0
42740,377,1,2
42748,378,1,1
42763,377,1,2
42779,372,1,7
42780,378,1,1
42836,378,1,1
42897,376,1,3
43040,376,1,3
43094,377,1,2
43095,376,1,3
43117,379,1,0
43176,377,1,2
43181,378,1,1
43182,378,1,1
43267,378,1,1
43268,377,1,2
43283,378,1,1
43298,379,1,0
43302,379,1,0
43664,374,1,5
43699,377,1,2
43725,378,1,1
43799,374,1,5
43800,376,2,2
43883,377,1,2
44085,377,1,2
44109,379,1,0
44147,378,1,1
44161,377,1,2
44244,375,1,4
44268,376,1,3
44302,378,1,1
44732,374,1,5
44898,377,1,2
44935,378,1,1
44936,379,1,0
45134,376,1,3
45136,375,1,4
45138,374,2,4
45274,377,1,2
45305,378,1,1
45311,377,1,2
45377,379,1,0
45383,371,1,8
45396,376,1,3
45402,378,1,1
45404,372,5,3
45425,373,1,6
45439,376,1,3
45456,372,7,1
45476,374,2,4
45488,375,1,4
45553,377,1,2
45573,374,1,5
45584,377,1,2
45662,374,1,5
45686,377,1,2
45917,377,1,2
45928,379,1,0
45976,379,1,0
46014,375,1,4
46042,379,1,0
46176,377,1,2
46327,377,1,2
46328,376,1,3
46345,375,1,4
46363,377,2,1
46397,375,1,4
46432,374,1,5
46513,368,1,11
46672,377,1,2
46700,378,1,1
46983,376,1,3
47126,376,1,3
47233,376,2,2
47250,378,1,1
47260,374,1,5
47267,376,1,3
47269,379,1,0
47301,379,1,0
47303,365,1,14
47679,376,1,3
47723,374,1,5
48315,378,1,1
48353,378,1,1
48354,376,1,3
48357,379,1,0
48362,374,1,5
48383,378,1,1
48407,377,1,2
48428,378,1,1
48434,378,1,1
48455,378,1,1
48487,378,1,1
48535,376,1,3
48579,375,1,4
48646,375,1,4
48814,379,1,0
48841,377,1,2
